"Data","NomeMunicipio","CodigoMunicipio","Casos_Circ","Casos_Resp","Obitos_Circ","Obitos_Resp","Ano","CO","PM2p5","Temperatura","UmidRel"
2022-07-05,"Rio de Janeiro",330455,56,45,8,3,2022,277.651707847326,36.5410031122337,21.676171875,70.2481256487829
2022-07-06,"Rio de Janeiro",330455,69,32,6,3,2022,374.17771636683,37.5314499478918,21.2112365722656,71.93525219748
2022-07-07,"Rio de Janeiro",330455,69,36,14,5,2022,239.043373539971,37.0966652951665,21.8731323242188,66.2621588855743
2022-07-08,"Rio de Janeiro",330455,54,41,6,6,2022,312.902159294026,43.6404405945723,21.6231628417969,69.7478271531728
2022-07-09,"Rio de Janeiro",330455,26,31,8,5,2022,350.384183889219,26.5187729553418,20.6494384765625,84.5656530015427
2022-07-10,"Rio de Janeiro",330455,38,30,9,8,2022,181.314220526474,33.0965725936494,21.4569641113281,77.1325791120041
2022-07-11,"Rio de Janeiro",330455,58,43,12,10,2022,250.868659179559,39.0192731458683,22.3695617675781,64.9421443767888
2022-07-12,"Rio de Janeiro",330455,69,45,7,5,2022,227.497814364597,43.0721112110177,23.6177612304688,57.8039905552985
2022-07-13,"Rio de Janeiro",330455,63,44,9,12,2022,198.012159557948,19.1366424928674,21.3961730957031,85.3976380015831
2022-07-14,"Rio de Janeiro",330455,66,49,9,10,2022,105.555677976099,23.6084387594815,22.12294921875,83.8667397832867
2022-07-15,"Rio de Janeiro",330455,57,51,5,16,2022,179.931475940975,33.4241292421211,22.5772033691406,73.4931731913778
2022-07-16,"Rio de Janeiro",330455,46,32,14,5,2022,283.302028947219,50.2713568550917,23.2703186035156,69.4223339941389
2022-07-17,"Rio de Janeiro",330455,39,36,11,8,2022,368.28674865319,57.7775480792297,23.0697265625,74.3050305871046
2022-07-18,"Rio de Janeiro",330455,71,34,14,5,2022,134.160082154722,15.2531507424669,21.6705871582031,87.7888353905523
2022-07-19,"Rio de Janeiro",330455,57,42,9,7,2022,193.941289694521,24.0552848751463,21.8650451660156,85.5528142476834
2022-07-20,"Rio de Janeiro",330455,63,43,6,11,2022,148.564510027427,20.2618286593292,21.4370361328125,87.5179915682232
2022-07-21,"Rio de Janeiro",330455,60,46,10,9,2022,156.4994107639,13.7540814293402,21.1394592285156,81.995859711484
2022-07-22,"Rio de Janeiro",330455,61,41,13,9,2022,242.834914843115,28.0860099621805,21.2028137207031,80.9620042647271
2022-07-23,"Rio de Janeiro",330455,32,24,5,8,2022,259.877737107672,27.3133480277465,21.8608337402344,76.8202712286812
2022-07-24,"Rio de Janeiro",330455,34,29,7,8,2022,255.713473507058,34.0547856580997,21.7967163085938,76.3644711992767
2022-07-25,"Rio de Janeiro",330455,63,37,10,15,2022,204.292319949673,25.3024765584087,21.3735290527344,78.4076289154962
2022-07-26,"Rio de Janeiro",330455,69,34,15,3,2022,192.505730467474,26.7470774417689,20.9258972167969,81.5375861525712
2022-07-27,"Rio de Janeiro",330455,53,37,8,10,2022,145.371238602365,23.5785897473306,21.6447082519531,77.8963011578334
2022-07-28,"Rio de Janeiro",330455,55,34,5,7,2022,199.581926096926,35.2815376913895,22.6879211425781,66.9601525685046
2022-07-29,"Rio de Janeiro",330455,50,40,7,6,2022,298.748929594694,35.2619711208035,21.6754699707031,71.3768733128075
2022-07-30,"Rio de Janeiro",330455,32,24,5,4,2022,120.353092825098,7.24802884377596,19.1444030761719,69.2163544931046
2022-07-31,"Rio de Janeiro",330455,36,28,8,7,2022,118.96185014848,15.1945585002977,19.2477966308594,70.0915615260357
2022-08-01,"Rio de Janeiro",330455,92,41,5,12,2022,172.153391986285,13.3961322035248,20.7690673828125,77.7018009447534
2022-08-02,"Rio de Janeiro",330455,65,38,9,7,2022,414.657648661887,36.7412873458761,20.9967895507813,87.7923808717786
2022-08-03,"Rio de Janeiro",330455,61,33,6,9,2022,235.542643167719,30.7726004677988,20.4524475097656,84.4977494320188
2022-08-04,"Rio de Janeiro",330455,59,33,11,7,2022,238.700948784754,23.5614479038304,22.2934509277344,77.134460751599
2022-08-05,"Rio de Janeiro",330455,68,31,10,7,2022,525.455845945544,64.177616110328,23.3947692871094,69.2772050378137
2022-08-06,"Rio de Janeiro",330455,37,34,4,3,2022,130.129762965225,17.2242735629879,20.586572265625,78.8534379145842
2022-08-07,"Rio de Janeiro",330455,32,29,5,10,2022,165.268403407026,23.3279386918639,21.3788696289063,80.9180001414615
2022-08-08,"Rio de Janeiro",330455,66,40,11,6,2022,245.821837552285,40.0212503137709,21.6390625,84.8578992484633
2022-08-09,"Rio de Janeiro",330455,67,50,9,9,2022,202.521036385406,17.3203709152858,21.4283386230469,86.0466694259874
2022-08-10,"Rio de Janeiro",330455,72,39,12,11,2022,248.706250260966,45.0436417054334,21.3265930175781,82.0999734142475
2022-08-11,"Rio de Janeiro",330455,63,41,9,7,2022,81.4948322158671,11.4477440860128,19.0476013183594,75.6175866649798
2022-08-12,"Rio de Janeiro",330455,59,36,6,6,2022,71.7627983704006,8.07077737974282,19.2275329589844,74.1209222539184
2022-08-13,"Rio de Janeiro",330455,29,28,5,3,2022,78.7585747730191,5.30564570055958,19.7302185058594,71.1092491095011
2022-08-14,"Rio de Janeiro",330455,37,28,3,4,2022,130.912454210375,8.268600026895,20.3681274414063,71.7778975132221
2022-08-15,"Rio de Janeiro",330455,58,46,12,8,2022,140.167728091001,10.7922062397847,21.5716491699219,61.1818752661725
